Type,Component,Date,Value,Year
Income,Salary,01-01-2018,35000,2018
Income,Salary,01-02-2018,35000,2018
Income,Salary,01-03-2018,35000,2018
Income,Salary,01-04-2018,35000,2018
Income,Salary,01-05-2018,35000,2018
Income,Salary,01-06-2018,35000,2018
Income,Salary,01-07-2018,35000,2018
Income,Salary,01-08-2018,35000,2018
Income,Salary,01-09-2018,35000,2018
Income,Salary,01-10-2018,35000,2018
Income,Salary,01-11-2018,35000,2018
Income,Salary,01-12-2018,35000,2018
Income,Salary,01-01-2019,50000,2019
Income,Salary,01-02-2019,50000,2019
Income,Salary,01-03-2019,50000,2019
Income,Salary,01-04-2019,50000,2019
Income,Salary,01-05-2019,50000,2019
Income,Salary,01-06-2019,50000,2019
Income,Salary,01-07-2019,50000,2019
Income,Salary,01-08-2019,50000,2019
Income,Salary,01-09-2019,50000,2019
Income,Salary,01-10-2019,50000,2019
Income,Salary,01-11-2019,50000,2019
Income,Salary,01-12-2019,50000,2019
Income,Salary,01-01-2020,50000,2020
Income,Salary,01-02-2020,50000,2020
Income,Salary,01-03-2020,50000,2020
Income,Salary,01-04-2020,50000,2020
Income,Salary,01-05-2020,50000,2020
Income,Salary,01-06-2020,50000,2020
Income,Salary,01-07-2020,50000,2020
Income,Salary,01-08-2020,50000,2020
Income,Salary,01-09-2020,50000,2020
Income,Salary,01-10-2020,50000,2020
Income,Salary,01-11-2020,50000,2020
Income,Salary,01-12-2020,50000,2020
Income,Salary,01-01-2021,55000,2021
Income,Salary,01-02-2021,55000,2021
Income,Salary,01-03-2021,55000,2021
Income,Salary,01-04-2021,55000,2021
Income,Salary,01-05-2021,55000,2021
Income,Salary,01-06-2021,55000,2021
Income,Salary,01-07-2021,55000,2021
Income,Salary,01-08-2021,55000,2021
Income,Salary,01-09-2021,55000,2021
Income,Salary,01-10-2021,55000,2021
Income,Salary,01-11-2021,55000,2021
Income,Salary,01-12-2021,55000,2021
Income,Salary,01-01-2022,60000,2022
Income,Salary,01-02-2022,60000,2022
Income,Salary,01-03-2022,60000,2022
Income,Salary,01-04-2022,60000,2022
Income,Salary,01-05-2022,60000,2022
Income,Salary,01-06-2022,60000,2022
Income,Salary,01-07-2022,60000,2022
Income,Salary,01-08-2022,60000,2022
Income,Salary,01-09-2022,60000,2022
Income,Salary,01-10-2022,60000,2022
Income,Salary,01-11-2022,60000,2022
Income,Salary,01-12-2022,60000,2022
Income,Salary,01-01-2023,60000,2023
Income,Salary,01-02-2023,60000,2023
Income,Salary,01-03-2023,60000,2023
Income,Dividend,01-01-2018,3000,2018
Income,Dividend,01-02-2018,3000,2018
Income,Dividend,01-03-2018,3000,2018
Income,Dividend,01-04-2018,3000,2018
Income,Dividend,01-05-2018,3000,2018
Income,Dividend,01-06-2018,3000,2018
Income,Dividend,01-07-2018,3000,2018
Income,Dividend,01-08-2018,3000,2018
Income,Dividend,01-09-2018,3000,2018
Income,Dividend,01-10-2018,3000,2018
Income,Dividend,01-11-2018,3000,2018
Income,Dividend,01-12-2018,3000,2018
Income,Dividend,01-01-2019,3500,2019
Income,Dividend,01-02-2019,3500,2019
Income,Dividend,01-03-2019,3500,2019
Income,Dividend,01-04-2019,3500,2019
Income,Dividend,01-05-2019,3500,2019
Income,Dividend,01-06-2019,3500,2019
Income,Dividend,01-07-2019,3500,2019
Income,Dividend,01-08-2019,3500,2019
Income,Dividend,01-09-2019,3500,2019
Income,Dividend,01-10-2019,3500,2019
Income,Dividend,01-11-2019,3500,2019
Income,Dividend,01-12-2019,3500,2019
Income,Dividend,01-01-2020,4000,2020
Income,Dividend,01-02-2020,4000,2020
Income,Dividend,01-03-2020,4000,2020
Income,Dividend,01-04-2020,4000,2020
Income,Dividend,01-05-2020,4000,2020
Income,Dividend,01-06-2020,4000,2020
Income,Dividend,01-07-2020,4000,2020
Income,Dividend,01-08-2020,4000,2020
Income,Dividend,01-09-2020,4000,2020
Income,Dividend,01-10-2020,4000,2020
Income,Dividend,01-11-2020,4000,2020
Income,Dividend,01-12-2020,4000,2020
Income,Dividend,01-01-2021,4500,2021
Income,Dividend,01-02-2021,4500,2021
Income,Dividend,01-03-2021,4500,2021
Income,Dividend,01-04-2021,4500,2021
Income,Dividend,01-05-2021,4500,2021
Income,Dividend,01-06-2021,4500,2021
Income,Dividend,01-07-2021,4500,2021
Income,Dividend,01-08-2021,4500,2021
Income,Dividend,01-09-2021,4500,2021
Income,Dividend,01-10-2021,4500,2021
Income,Dividend,01-11-2021,4500,2021
Income,Dividend,01-12-2021,4500,2021
Income,Dividend,01-01-2022,4000,2022
Income,Dividend,01-02-2022,4000,2022
Income,Dividend,01-03-2022,4000,2022
Income,Dividend,01-04-2022,4000,2022
Income,Dividend,01-05-2022,4000,2022
Income,Dividend,01-06-2022,4000,2022
Income,Dividend,01-07-2022,4000,2022
Income,Dividend,01-08-2022,4000,2022
Income,Dividend,01-09-2022,4000,2022
Income,Dividend,01-10-2022,4000,2022
Income,Dividend,01-11-2022,4000,2022
Income,Dividend,01-12-2022,4000,2022
Income,Dividend,01-01-2023,4800,2023
Income,Dividend,01-02-2023,4800,2023
Income,Dividend,01-03-2023,4800,2023
Income,Mutual Funds,01-01-2018,10000,2018
Income,Mutual Funds,01-02-2018,10000,2018
Income,Mutual Funds,01-03-2018,10000,2018
Income,Mutual Funds,01-04-2018,10000,2018
Income,Mutual Funds,01-05-2018,10000,2018
Income,Mutual Funds,01-06-2018,10000,2018
Income,Mutual Funds,01-07-2018,10000,2018
Income,Mutual Funds,01-08-2018,10000,2018
Income,Mutual Funds,01-09-2018,10000,2018
Income,Mutual Funds,01-10-2018,10000,2018
Income,Mutual Funds,01-11-2018,10000,2018
Income,Mutual Funds,01-12-2018,10000,2018
Income,Mutual Funds,01-01-2019,13000,2019
Income,Mutual Funds,01-02-2019,13000,2019
Income,Mutual Funds,01-03-2019,13000,2019
Income,Mutual Funds,01-04-2019,13000,2019
Income,Mutual Funds,01-05-2019,13000,2019
Income,Mutual Funds,01-06-2019,13000,2019
Income,Mutual Funds,01-07-2019,13000,2019
Income,Mutual Funds,01-08-2019,13000,2019
Income,Mutual Funds,01-09-2019,13000,2019
Income,Mutual Funds,01-10-2019,13000,2019
Income,Mutual Funds,01-11-2019,13000,2019
Income,Mutual Funds,01-12-2019,13000,2019
Income,Mutual Funds,01-01-2020,15000,2020
Income,Mutual Funds,01-02-2020,15000,2020
Income,Mutual Funds,01-03-2020,15000,2020
Income,Mutual Funds,01-04-2020,15000,2020
Income,Mutual Funds,01-05-2020,15000,2020
Income,Mutual Funds,01-06-2020,15000,2020
Income,Mutual Funds,01-07-2020,15000,2020
Income,Mutual Funds,01-08-2020,15000,2020
Income,Mutual Funds,01-09-2020,15000,2020
Income,Mutual Funds,01-10-2020,15000,2020
Income,Mutual Funds,01-11-2020,15000,2020
Income,Mutual Funds,01-12-2020,15000,2020
Income,Mutual Funds,01-01-2021,17000,2021
Income,Mutual Funds,01-02-2021,17000,2021
Income,Mutual Funds,01-03-2021,17000,2021
Income,Mutual Funds,01-04-2021,17000,2021
