Type,Component,Date,Value,Year
Income,Salary,01-01-2019,50000,2019
Income,Salary,01-02-2019,50000,2019
Income,Salary,01-03-2019,50000,2019
Income,Salary,01-04-2019,50000,2019
Income,Salary,01-05-2019,50000,2019
Income,Salary,01-06-2019,50000,2019
Income,Salary,01-07-2019,50000,2019
Income,Salary,01-08-2019,50000,2019
Income,Salary,01-09-2019,50000,2019
Income,Salary,01-10-2019,50000,2019
Income,Salary,01-11-2019,50000,2019
Income,Salary,01-12-2019,50000,2019
Income,Salary,01-01-2020,50000,2020
Income,Salary,01-02-2020,50000,2020
Income,Salary,01-03-2020,50000,2020
Income,Salary,01-04-2020,50000,2020
Income,Salary,01-05-2020,50000,2020
Income,Salary,01-06-2020,50000,2020
Income,Salary,01-07-2020,50000,2020
Income,Salary,01-08-2020,50000,2020
Income,Salary,01-09-2020,50000,2020
Income,Salary,01-10-2020,50000,2020
Income,Salary,01-11-2020,50000,2020
Income,Salary,01-12-2020,50000,2020
Income,Salary,01-01-2021,60000,2021
Income,Salary,01-02-2021,60000,2021
Income,Salary,01-03-2021,60000,2021
Income,Salary,01-04-2021,60000,2021
Income,Salary,01-05-2021,60000,2021
Income,Salary,01-06-2021,60000,2021
Income,Salary,01-07-2021,60000,2021
Income,Salary,01-08-2021,60000,2021
Income,Salary,01-09-2021,60000,2021
Income,Salary,01-10-2021,60000,2021
Income,Salary,01-11-2021,60000,2021
Income,Salary,01-12-2021,65000,2021
Income,Salary,01-01-2022,65000,2022
Income,Salary,01-02-2022,65000,2022
Income,Salary,01-03-2022,65000,2022
Income,Salary,01-04-2022,65000,2022
Income,Salary,01-05-2022,65000,2022
Income,Salary,01-06-2022,65000,2022
Income,Salary,01-07-2022,65000,2022
Income,Salary,01-08-2022,65000,2022
Income,Salary,01-09-2022,65000,2022
Income,Salary,01-10-2022,65000,2022
Income,Salary,01-11-2022,65000,2022
Income,Salary,01-12-2022,65000,2022
Income,Salary,01-01-2023,65000,2023
Income,Salary,01-02-2023,65000,2023
Income,Salary,01-03-2023,65000,2023
Income,Bussiness,01-01-2019,10000,2019
Income,Bussiness,01-02-2019,10000,2019
Income,Bussiness,01-03-2019,10000,2019
